frame_index,time_s,raw_diff,smooth_diff,progress
365,10.568556,9449030.000,9368866.000,0.891290
366,10.597511,9449131.000,9368866.000,0.891290
367,10.626466,9368866.000,9368866.000,0.891290
368,10.655421,8934285.000,8934285.000,0.849947
369,10.684376,8933872.000,8934285.000,0.849947
370,10.713331,8535402.000,8934285.000,0.849947
371,10.742286,9598903.000,9598903.000,0.913174
372,10.771241,9759691.000,9759691.000,0.928470
373,10.800196,9907188.000,9907188.000,0.942502
374,10.829151,10043997.000,10043997.000,0.955517
375,10.858106,10082432.000,10082432.000,0.959174
376,10.887061,10217525.000,10217525.000,0.972025
377,10.916016,10223269.000,10223269.000,0.972572
378,10.944971,10329669.000,10329669.000,0.982694
379,10.973926,10355600.000,10355600.000,0.985161
380,11.002880,10377022.000,10377022.000,0.987199
381,11.031835,10377236.000,10377236.000,0.987219
382,11.060790,10401983.000,10401983.000,0.989573
383,11.089745,10429622.000,10429622.000,0.992203
384,11.118700,10472710.000,10440844.000,0.993270
385,11.147655,10445050.000,10440844.000,0.993270
386,11.176610,10440844.000,10440844.000,0.993270
387,11.205565,10438497.000,10438597.000,0.993057
388,11.234520,10438597.000,10438497.000,0.993047
389,11.263475,10434195.000,10434245.000,0.992643
390,11.292430,10434245.000,10434195.000,0.992638
391,11.321385,10432497.000,10432596.000,0.992486
392,11.350340,10432596.000,10432497.000,0.992476
393,11.379295,10431630.000,10431630.000,0.992394
394,11.408250,10430461.000,10430461.000,0.992283
395,11.437205,10430374.000,10430374.000,0.992274
396,11.466160,10430367.000,10430367.000,0.992274
397,11.495115,10430268.000,10430268.000,0.992264
398,11.524070,10429868.000,10429868.000,0.992226
399,11.553025,10429778.000,10429868.000,0.992226
400,11.581979,10429868.000,10429868.000,0.992226
401,11.610934,10429793.000,10429793.000,0.992219
402,11.639889,10429883.000,10429868.000,0.992226
403,11.668844,10429793.000,10429793.000,0.992219
404,11.697799,10429883.000,10429822.000,0.992222
405,11.726754,10429793.000,10429793.000,0.992219
406,11.755709,10429822.000,10429793.000,0.992219
407,11.784664,10429565.000,10429630.000,0.992204
408,11.813619,10429630.000,10429630.000,0.992204
409,11.842574,10429565.000,10429565.000,0.992197
410,11.871529,10429630.000,10429630.000,0.992204
411,11.900484,10429565.000,10429565.000,0.992197
412,11.929439,10429630.000,10429630.000,0.992204
413,11.958394,10429565.000,10429565.000,0.992197
414,11.987349,10429630.000,10429630.000,0.992204
415,12.016304,10429565.000,10429565.000,0.992197
416,12.045259,10429630.000,10429630.000,0.992204
417,12.074214,10429565.000,10429565.000,0.992197
418,12.103169,10429630.000,10429630.000,0.992204
419,12.132123,10429565.000,10429565.000,0.992197
420,12.161078,10429630.000,10429630.000,0.992204
421,12.190033,10429565.000,10429565.000,0.992197
422,12.218988,10429630.000,10429630.000,0.992204
423,12.247943,10429565.000,10429565.000,0.992197
424,12.276898,10429630.000,10429630.000,0.992204
425,12.305853,10429565.000,10429565.000,0.992197
426,12.334808,10429630.000,10429630.000,0.992204
427,12.363763,10429565.000,10429565.000,0.992197
428,12.392718,10429630.000,10429630.000,0.992204
429,12.421673,10429565.000,10429565.000,0.992197
430,12.450628,10429630.000,10429630.000,0.992204
431,12.479583,10429565.000,10429565.000,0.992197
432,12.508538,10429630.000,10429630.000,0.992204
433,12.537493,10429565.000,10429565.000,0.992197
434,12.566448,10429630.000,10429572.000,0.992198
435,12.595403,10429507.000,10429565.000,0.992197
436,12.624358,10429572.000,10429572.000,0.992198
437,12.653313,10429507.000,10429507.000,0.992192
438,12.682268,10429572.000,10429572.000,0.992198
439,12.711222,10429507.000,10429507.000,0.992192
440,12.740177,10429572.000,10429572.000,0.992198
441,12.769132,10429507.000,10429507.000,0.992192
442,12.798087,10429572.000,10429572.000,0.992198
443,12.827042,10429507.000,10429507.000,0.992192
444,12.855997,10429572.000,10429572.000,0.992198
445,12.884952,10429507.000,10429507.000,0.992192
446,12.913907,10429572.000,10429572.000,0.992198
447,12.942862,10429507.000,10429507.000,0.992192
448,12.971817,10429572.000,10429572.000,0.992198
449,13.000772,10429507.000,10429507.000,0.992192
450,13.029727,10429572.000,10429572.000,0.992198
451,13.058682,10429507.000,10429507.000,0.992192
452,13.087637,10429572.000,10429572.000,0.992198
453,13.116592,10429507.000,10429507.000,0.992192
454,13.145547,10429572.000,10429572.000,0.992198
455,13.174502,10429507.000,10429507.000,0.992192
456,13.203457,10429572.000,10429572.000,0.992198
457,13.232412,10429507.000,10429507.000,0.992192
458,13.261366,10429572.000,10429572.000,0.992198
459,13.290321,10429507.000,10429507.000,0.992192
460,13.319276,10429572.000,10429572.000,0.992198
461,13.348231,10429507.000,10429507.000,0.992192
462,13.377186,10429572.000,10429572.000,0.992198
463,13.406141,10429507.000,10429507.000,0.992192
464,13.435096,10429572.000,10429572.000,0.992198
465,13.464051,10429507.000,10429507.000,0.992192
466,13.493006,10429572.000,10429572.000,0.992198
467,13.521961,10429507.000,10429507.000,0.992192
468,13.550916,10429572.000,10429572.000,0.992198
469,13.579871,10429507.000,10429507.000,0.992192
470,13.608826,10429572.000,10429572.000,0.992198
471,13.637781,10429507.000,10429507.000,0.992192
472,13.666736,10429572.000,10429572.000,0.992198
473,13.695691,10429507.000,10429507.000,0.992192
474,13.724646,10429572.000,10429507.000,0.992192
475,13.753601,10429507.000,10429507.000,0.992192
